Temperature 7.5e+23
config,energy,magnetism
408,-764,190
409,-1132,86
410,-682,-114
411,-918,-94
412,-906,-104
413,-1006,76
414,-842,96
415,-884,54
416,-1150,-26
417,-774,14
418,-1074,44
419,-1024,22
420,-700,68
421,-1182,-104
422,-992,60
423,-1082,18
424,-834,150
425,-968,-82
426,-1042,2
427,-992,-198
428,-512,-178
429,-1230,32
430,-1024,10
431,-1064,-108
432,-884,-6
433,-868,64
434,-898,74
435,-808,80
436,-1116,-212
437,-1204,176
438,-1124,96
439,-1066,2
440,-1006,-182
441,-1064,68
442,-790,18
443,-710,-22
444,-752,58
445,-618,-88
446,-1022,-194
447,-774,-122
448,-1248,-114
449,-838,-60
450,-1114,100
451,-948,-102
452,-1130,-32
453,-926,10
454,-1014,-108
455,-738,-28
456,-1098,166
457,-614,18
458,-900,30
459,-862,-158
460,-1216,-290
461,-858,-126
462,-884,-22
463,-814,-18
464,-986,182
465,-896,166
466,-966,72
467,-1024,124
468,-894,22
469,-942,12
470,-1074,416
471,-538,54
472,-966,58
473,-866,-88
474,-1104,-92
475,-684,-82
476,-744,92
477,-1134,-58
478,-1000,26
479,-1032,-28
480,-832,-54
481,-1088,-60
482,-964,-38
483,-834,72
484,-1034,-44
485,-958,66
486,-990,68
487,-802,126
488,-742,-96
489,-1008,74
490,-760,-44
491,-898,-14
492,-984,-14
493,-752,70
494,-962,88
495,-862,82
496,-736,26
497,-986,-70
498,-794,172
499,-626,-42
500,-966,-30
501,-768,-212
502,-778,-18
503,-954,66
504,-836,192
505,-734,14
506,-974,-142
507,-1022,218
508,-882,-18
509,-1106,-86
510,-1000,92
511,-872,74
512,-922,-76
513,-1074,-184
514,-748,-148
515,-900,110
516,-1080,118
517,-1114,150
518,-914,-190
519,-1316,-64
520,-774,54
521,-1058,44
522,-1166,-124
523,-730,-82
524,-684,-130
525,-916,26
526,-1054,38
527,-784,-180
528,-1168,16
529,-794,60
530,-936,12
531,-1042,-32
532,-890,46
533,-952,-86
534,-956,-102
535,-802,-8
536,-796,-90
537,-954,182
538,-1022,122
539,-740,42
540,-878,-98
541,-1124,126
542,-1036,276
543,-1112,-12
544,-1032,120
545,-892,-134
546,-962,-2
547,-1064,-62
548,-778,-152
549,-938,156
550,-862,-50
551,-918,-222
552,-1060,-58
553,-1018,70
554,-854,90
555,-1290,16
556,-1058,30
557,-1114,-128
558,-830,-156
559,-828,-56
560,-926,-30
561,-994,36
562,-914,-150
563,-1072,-64
564,-1030,50
565,-592,2
566,-848,40
567,-916,-70
568,-1088,188
569,-802,22
570,-916,-114
571,-940,24
572,-1058,-104
573,-1030,254
574,-844,-206
575,-882,-18
576,-734,22
577,-664,-46
578,-952,0
579,-980,130
580,-826,200
581,-976,-150
582,-1056,-12
583,-868,-304
584,-1112,-76
585,-1016,-78
586,-1170,112
587,-972,62
588,-788,38
589,-964,162
590,-914,106
591,-940,-176
592,-654,-30
593,-680,30
594,-616,-142
595,-1098,122
596,-650,120
597,-822,66
598,-780,320
599,-1322,134
600,-948,-36
601,-984,-72
602,-832,108
603,-716,-90
604,-744,70
605,-628,-56
606,-812,-116
607,-698,-2
608,-886,14
609,-686,48
610,-1214,16
611,-1082,50
612,-854,-2
613,-962,-232
614,-1106,2
615,-964,38
616,-994,-144
617,-1128,152
618,-704,100
619,-810,-288
620,-824,-16
621,-980,-42
622,-1016,-146
623,-1020,120
624,-826,104
625,-978,114
626,-936,18
627,-1014,-52
628,-896,86
629,-938,52
630,-952,104
631,-1022,126
632,-838,-32
633,-964,-66
634,-640,-64
635,-674,-94
636,-792,-132
637,-656,-66
638,-740,48
639,-886,150
640,-746,-100
641,-472,-62
642,-1108,120
643,-1078,-146
644,-960,-12
645,-716,4
646,-1000,126
647,-950,126
648,-974,-76
649,-934,-20
650,-822,-76
651,-932,-32
652,-946,40
653,-946,28
654,-718,136
655,-996,36
656,-740,-80
657,-1192,86
658,-1060,-138
659,-758,62
660,-1164,64
661,-974,32
662,-854,-44
663,-1136,56
664,-774,98
665,-898,-90
666,-1156,110
667,-720,-18
668,-890,166
669,-1126,-62
670,-896,58
671,-1150,94
672,-906,14
673,-1068,64
674,-918,-60
675,-1086,26
676,-808,-122
677,-698,-48
678,-836,18
679,-876,-34
680,-1046,40
681,-878,22
682,-942,-114
683,-1134,-152
684,-574,16
685,-1030,88
686,-642,98
687,-1120,64
688,-1068,94
689,-828,-138
690,-1196,124
691,-1096,56
692,-934,26
693,-854,82
694,-768,22
695,-1026,-146
696,-1098,86
697,-866,-170
698,-932,40
699,-936,84
700,-980,110
701,-926,-68
702,-1012,-80
703,-978,50
704,-784,-176
705,-1178,130
706,-824,124
707,-822,8
708,-968,-14
709,-816,44
710,-784,48
711,-882,32
712,-682,40
713,-710,94
714,-1074,-220
715,-730,-146
716,-852,44
717,-1030,-2
718,-1168,-4
719,-1160,-18
720,-900,-40
721,-862,-62
722,-796,164
723,-912,196
724,-796,44
725,-1044,274
726,-1166,-100
727,-856,-146
728,-910,-114
729,-1224,-30
730,-1102,-10
731,-1112,-120
732,-914,-108
733,-996,-42
734,-950,-14
735,-1042,-240
736,-962,-94
737,-1234,-110
738,-938,-22
739,-998,96
740,-810,-38
741,-972,120
742,-878,-2
743,-646,-40
744,-954,124
745,-992,102
746,-944,48
747,-762,80
748,-894,98
749,-802,42
750,-746,-152
751,-1054,64
752,-916,-44
753,-872,18
754,-802,68
755,-884,-2
756,-888,-156
757,-766,-54
758,-990,-192
759,-890,-94
760,-1250,90
761,-818,-200
762,-902,128
763,-840,44
764,-822,-154
765,-902,128
766,-1064,170
767,-1076,-200
768,-908,-104
769,-980,190
770,-852,-128
771,-1098,28
772,-1032,106
773,-650,-88
774,-994,154
775,-932,60
776,-866,-22
777,-922,38
778,-892,22
779,-658,-26
780,-874,-112
781,-848,18
782,-1020,-238
783,-1152,64
784,-788,-96
785,-1030,-110
786,-1092,180
787,-1084,-124
788,-882,-10
789,-820,-74
790,-860,198
791,-990,132
792,-734,86
793,-932,22
794,-838,78
795,-1052,-162
796,-938,32
797,-1108,30
798,-1070,80
799,-1136,10
800,-940,8
801,-804,-80
802,-652,22
803,-866,64
804,-1066,56
805,-1038,-64
806,-1250,64
807,-1068,16
808,-772,-66
809,-938,92
810,-1010,-38
811,-810,20
812,-1252,24
813,-850,-8
814,-1004,-74
815,-830,14
816,-1122,22
817,-862,-204
818,-894,226
819,-1022,-144
820,-1072,-90
821,-714,-46
822,-1054,78
823,-766,-48
824,-992,12
825,-1030,58
826,-904,104
827,-952,24
828,-1014,-92
829,-1030,-102
830,-1086,52
831,-894,56
832,-914,-8
833,-842,-18
834,-760,-172
835,-932,-60
836,-878,46
837,-778,116
838,-894,-84
839,-1166,-52
840,-650,-106
841,-970,-36
842,-1024,140
843,-946,12
844,-708,104
845,-794,-34
846,-714,-128
847,-858,-184
848,-816,92
849,-1048,-40
850,-926,-54
851,-558,90
852,-754,-162
