Temperature 10000
config,energy,magnetism
372,-1751,-158
373,-1709,48
374,-1751,2
375,-1655,96
376,-1627,-196
377,-1793,-104
378,-1619,26
379,-1659,34
380,-1827,6
381,-1701,158
382,-1741,100
383,-1605,80
384,-1547,-44
385,-1601,-22
386,-1515,112
387,-1551,180
388,-1779,82
389,-1633,78
390,-1475,22
391,-1591,102
392,-1555,-72
393,-1567,4
394,-1607,-142
395,-1519,-4
396,-1513,-132
397,-1575,40
398,-1489,-48
399,-1619,128
400,-1647,48
401,-1611,-38
402,-1707,296
403,-1719,-48
404,-1641,90
405,-1651,62
406,-1565,-162
407,-1735,-84
408,-1701,52
409,-1539,-2
410,-1613,-114
411,-1655,-88
412,-1669,-288
413,-1397,82
414,-1607,-322
415,-1843,190
416,-1521,90
417,-1731,-126
418,-1789,114
419,-1643,60
420,-1433,-36
421,-1593,-188
422,-1733,-92
423,-1753,22
424,-1663,-34
425,-1531,-146
426,-1797,102
427,-1609,142
428,-1709,-90
429,-1707,52
430,-1657,98
431,-1591,8
432,-1675,-86
433,-1607,-288
434,-1643,-34
435,-1639,22
436,-1695,120
437,-1647,78
438,-1651,-38
439,-1521,-40
440,-1653,-264
441,-1399,-290
442,-1641,-202
443,-1749,10
444,-1593,-6
445,-1727,-18
446,-1763,214
447,-1715,168
448,-1497,70
449,-1729,-116
450,-1603,-94
451,-1609,-40
452,-1621,10
453,-1651,144
454,-1451,-90
455,-1611,-54
456,-1583,2
457,-1507,-190
458,-1591,134
459,-1625,60
460,-1441,-38
461,-1643,-200
462,-1679,-62
463,-1497,20
464,-1753,-112
465,-1619,-124
466,-1631,-62
467,-1635,214
468,-1675,26
469,-1637,172
470,-1509,40
471,-1721,158
472,-1623,-168
473,-1611,-22
474,-1643,-122
475,-1535,78
476,-1703,56
477,-1697,208
478,-1559,-164
479,-1461,-102
480,-1517,98
481,-1677,122
482,-1693,-62
483,-1591,84
484,-1591,-26
485,-1661,20
486,-1487,90
487,-1653,-118
488,-1691,36
489,-1481,40
490,-1701,168
