Temperature 1e+20
config,energy,magnetism
365,-16412,1088
366,-16200,1026
367,-16386,-582
368,-16390,-350
369,-16350,-470
370,-16042,-420
371,-16326,216
372,-16486,794
373,-16426,-582
374,-16474,320
375,-16460,420
376,-16192,-104
377,-16720,120
378,-16224,-540
379,-16312,572
380,-15990,-134
381,-16136,634
382,-16462,142
383,-16300,-650
384,-16422,332
385,-16386,762
386,-16436,1590
387,-16326,568
388,-16390,-676
389,-16266,32
390,-16316,-312
391,-16252,274
392,-16468,-1202
393,-16334,-386
394,-16240,896
395,-16160,848
396,-16210,-464
397,-16266,270
398,-16250,-412
399,-16506,-1076
400,-16284,162
401,-16206,-366
402,-16432,-468
403,-16206,-208
404,-16254,832
405,-16628,2390
406,-16148,-464
407,-16436,-64
408,-16176,612
409,-16458,-428
410,-16624,976
411,-16458,276
412,-16238,-352
413,-16400,306
414,-16164,-34
415,-16102,-1086
416,-16278,46
417,-16376,908
418,-16358,906
419,-16240,-522
420,-16182,-542
421,-16442,-250
422,-16306,-276
423,-16354,-218
424,-16312,-248
425,-16364,-886
426,-16304,-354
427,-16430,774
428,-16270,164
429,-16196,-86
430,-16428,718
431,-16260,992
432,-16576,-286
433,-16256,322
434,-16504,126
435,-16028,-660
436,-16198,-170
437,-16326,-700
438,-16478,888
439,-16052,526
440,-16268,1520
441,-16288,-204
442,-16332,264
443,-16294,338
444,-16266,-154
445,-16340,532
446,-16208,-118
447,-16208,-330
448,-16306,746
449,-16264,-232
450,-16508,1272
451,-16294,-260
452,-16416,-1002
453,-16316,390
454,-16302,-350
455,-16390,928
456,-15986,-376
457,-16258,-596
458,-16416,1402
459,-16402,106
460,-16144,928
461,-16358,-300
462,-16444,-904
463,-16368,-808
464,-16294,-1136
465,-16244,726
466,-16310,-234
467,-16362,510
468,-16422,-8
469,-16328,-176
470,-16334,130
471,-16122,1192
472,-16226,642
473,-16218,-2
474,-16222,650
475,-16396,-244
476,-16472,-146
477,-16426,-916
478,-16314,1128
479,-16348,1900
480,-16424,832
481,-16428,230
482,-16408,-284
483,-16398,-194
484,-16140,-540
485,-16328,710
486,-16430,1122
487,-16456,1198
488,-16582,102
489,-16440,-940
490,-16434,-1174
491,-16222,934
492,-16336,-1016
493,-16430,592
494,-16194,-10
495,-16086,78
496,-16142,-218
497,-16252,226
498,-16350,-6
499,-16396,-236
500,-16422,562
501,-16486,-642
502,-16250,72
503,-16290,430
504,-16234,732
505,-16228,-758
506,-16148,-1322
507,-16322,-1014
508,-16666,414
509,-16180,634
510,-16524,-290
511,-16040,18
512,-16176,-420
513,-16470,210
514,-16320,18
515,-16326,1408
516,-16378,-512
517,-16272,-236
518,-16434,876
519,-16026,-716
520,-16258,186
521,-16432,1132
522,-16162,-222
523,-16362,520
524,-16288,1202
525,-16408,-738
526,-16598,522
527,-16292,-254
528,-16350,900
529,-16306,-486
530,-16288,-1402
531,-16362,-44
532,-16378,-292
533,-16370,-1090
534,-16044,-500
535,-16360,228
536,-16212,900
537,-16534,1512
538,-16228,-202
539,-16238,870
540,-16268,-1190
541,-16326,1494
542,-16106,-284
543,-16266,-714
544,-16206,356
545,-16180,72
546,-16180,-924
547,-16290,460
548,-16394,282
549,-16164,624
550,-16558,728
551,-16304,566
552,-16024,-522
553,-16152,106
554,-16356,-1104
555,-16274,586
556,-16222,844
557,-16472,-22
558,-16208,-156
559,-16374,450
560,-16500,2062
561,-16082,224
562,-16340,-958
563,-16344,906
564,-16264,-848
565,-16274,328
566,-16418,-552
567,-16158,-274
568,-16090,-650
569,-16138,-68
570,-16244,1700
571,-16306,-356
572,-16268,-744
573,-16526,948
574,-16358,-326
575,-16088,452
576,-16252,-532
577,-16144,-364
578,-16218,-214
579,-16228,-788
580,-16180,486
581,-16498,-122
582,-16298,750
583,-16308,388
584,-16256,46
585,-16354,-28
586,-16136,64
587,-16204,-1030
588,-16200,392
589,-16242,-332
590,-16310,-1110
591,-16432,220
592,-16430,-54
593,-16264,-254
594,-16530,292
595,-16322,428
596,-16290,-474
597,-16320,-458
598,-16202,150
599,-16148,836
600,-16146,218
601,-16350,902
602,-16452,132
603,-16268,-354
604,-16314,510
605,-16398,756
606,-16552,1420
607,-16528,1476
608,-16312,-976
609,-16156,-960
610,-16296,-448
611,-16320,-38
612,-16430,-96
613,-16468,-1012
614,-16608,1272
615,-16362,-330
616,-16438,-332
617,-16346,-612
618,-16212,-720
619,-16266,254
620,-16290,208
621,-16608,-480
622,-16128,798
623,-15932,-624
624,-16376,-258
625,-16264,274
626,-16328,-324
627,-16368,232
628,-16268,614
629,-16516,26
630,-16286,-464
631,-16050,-996
632,-16282,-752
633,-16240,744
634,-16268,-692
635,-16406,-1054
636,-16318,290
637,-16242,-834
638,-16464,-46
639,-16336,-92
640,-16314,-1148
641,-16434,834
642,-16338,-362
643,-16228,-1070
644,-16134,-172
645,-16288,178
646,-16226,844
647,-16448,596
648,-16394,26
649,-16326,-398
650,-16236,-994
651,-16282,1156
652,-16368,780
653,-16290,616
654,-16318,-618
655,-16090,-36
656,-16162,708
657,-16380,230
658,-16328,612
659,-16206,396
660,-16336,-1006
661,-16272,370
662,-16436,36
663,-16072,-744
664,-16280,214
665,-16132,780
666,-16496,-566
667,-16308,612
668,-16148,-980
669,-16100,-582
670,-16292,122
671,-16488,480
672,-16080,266
673,-16210,1578
674,-16256,-206
675,-16186,440
676,-16428,-1596
677,-16348,66
678,-16428,-198
