Temperature 1e+27
config,energy,magnetism
0,88,-68
1,10,-202
2,-24,82
3,14,74
4,-162,-2
5,180,48
6,522,12
7,20,72
8,-24,70
9,354,62
10,-52,-40
11,122,-138
12,-24,-158
13,-202,52
14,0,-22
15,74,150
16,-318,10
17,-60,-6
18,-130,12
19,-254,-168
20,470,-26
21,-30,30
22,-120,-142
23,186,-100
24,-202,152
25,8,10
26,-30,-82
27,36,162
28,-148,-146
29,2,-48
30,-110,-218
31,-290,-124
32,296,28
33,-82,-44
34,-138,36
35,-178,68
36,82,-44
37,88,-66
38,-20,-38
39,142,80
40,-238,114
41,-82,44
42,130,-26
43,296,96
44,-56,138
45,-24,46
46,-174,-66
47,-24,-164
48,-94,10
49,168,62
50,-246,-8
51,-284,46
52,-88,-20
53,50,42
54,60,-36
55,20,-36
56,-156,22
57,-68,18
58,186,-4
59,-48,-26
60,-80,56
61,202,-62
62,170,-22
63,-14,110
64,36,38
65,-54,-10
66,302,214
67,-236,-70
68,38,-64
69,4,64
70,-260,16
71,-32,-50
72,106,-116
73,92,-44
74,-24,-178
75,30,54
76,-248,-12
77,282,0
78,-122,-76
79,120,-94
80,-18,124
81,90,-2
82,-164,-30
83,40,78
84,-182,18
85,-106,-98
86,-186,46
87,94,38
88,-22,40
89,188,30
90,136,-10
91,158,-70
92,56,-64
93,96,-192
94,22,-210
95,62,-148
96,304,-60
97,20,6
98,190,-46
99,-78,-48
