Temperature 2.5e+22
config,energy,magnetism
0,-64,-88
1,-132,-194
2,-218,60
3,-102,80
4,-320,-10
5,46,42
6,384,8
7,-136,90
8,-200,68
9,178,54
10,-180,-26
11,-72,-130
12,-170,-154
13,-354,54
14,-160,-22
15,-86,140
16,-474,4
17,-210,10
18,-266,6
19,-426,-172
20,284,-36
21,-206,18
22,-250,-148
23,-14,-100
24,-382,164
25,-146,38
26,-158,-94
27,-128,174
28,-272,-130
29,-146,-64
30,-240,-218
31,-450,-136
32,130,36
33,-254,-56
34,-264,28
35,-322,72
36,-66,-22
37,-52,-68
38,-174,-38
39,-4,68
40,-390,120
41,-274,40
42,12,-18
43,156,104
44,-206,114
45,-168,56
46,-334,-48
47,-184,-166
48,-200,14
49,-6,68
50,-412,8
51,-414,34
52,-196,0
53,-78,46
54,-128,-46
55,-140,-46
56,-292,28
57,-204,40
58,40,-4
59,-212,-28
60,-244,62
61,44,-62
62,26,6
63,-182,102
64,-92,40
65,-192,-16
66,132,208
67,-360,-82
68,-64,-58
69,-150,76
70,-406,30
71,-182,-56
72,-62,-118
73,-60,-70
74,-144,-192
75,-88,46
76,-362,-30
77,114,-4
78,-292,-68
79,-2,-88
80,-190,142
81,-66,-30
82,-358,-52
83,-104,90
84,-290,44
85,-248,-106
86,-356,42
87,-42,64
88,-152,34
89,76,56
90,-6,-20
91,34,-74
92,-52,-54
93,-28,-192
94,-116,-204
95,-90,-124
96,156,-48
97,-90,16
98,22,-56
99,-278,-42
